"Treatment","Mouse","21","24","28","31","35","38","42","45","49","52","56","59","63","66","70","73","77","80","84","87","91"
"Vehicle",8997,188.31204,224.208,338.268924,505.429632,522.5472,624.524175,838.124045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vehicle",9010,201.257496,272.52236,424.562336,650.533702,716.3271045,825.562989,1227.537495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vehicle",9012,246.319712,339.706872,534.6282285,559.9644755,628.3816,793.8256375,991.278622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vehicle",9018,209.365504,307.392827,455.593288,640.679936,795.846384,943.685064,1056.0198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vehicle",9026,249.168332,302.0930165,452.747328,643.43585,793.273245,1026.749975,1168.401409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Palbociclib",9002,216.6711705,313.768125,475.401752,622.086752,931.4740375,1087.554763,1154.556132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Palbociclib",9005,230.749375,263.9509705,314.5105375,506.144781,668.317984,794.100686,894.593013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Palbociclib",9008,250.257564,287.1866,479.5124125,535.9104,953.015616,1071.98589,1142.297408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Palbociclib",9030,208.353984,243.892224,294.773399,384.654708,448.242976,482.448,533.380824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Palbociclib",9033,189.0117,251.14967,410.0076715,578.36532,678.553371,820.868804,891.580416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abraxane",8996,199.156486,247.268376,290.990714,290.5984375,182.473203,106.7037445,65.087631,43.783168,22.163336,18.819504,13.768704,7.1712,6.461114,9.37998,12.9654,14.6170635,19.940102,31.332224,70.94955,118.0764,161.806336
"Abraxane",9000,242.8590755,307.328,309.8307245,422.670864,412.9744105,234.705321,120.1882125,89.396406,64.618236,65.96244,57.3436,55.888056,60.9408,73.86065,103.042064,163.60137,241.812288,416.832876,581.773687,807.635932,982.693262
"Abraxane",9009,194.4,242.469266,260.452836,303.018286,302.2470375,251.0599455,131.00611,109.4535755,92.262528,94.184664,97.7059755,115.0269695,144.70416,175.373952,249.4683575,288.315648,485.591568,578.730537,740.5034215,933.7123125,1074.417838
"Abraxane",9011,214.7587,234.3728,283.696182,389.620138,372.086055,241.508316,92.974464,72.54117,45.762732,40.303418,45.096058,52.674368,54.409536,70.395652,120.837528,184.659146,234.267125,302.780872,442.8925,516.5970875,666.296664
"Abraxane",9035,244.4701575,343.7611,458.2929425,505.4697585,525.061179,444.268575,251.1648,164.1844885,121.221672,115.3098,109.444446,108.3536595,139.1528,169.430296,229.6512,296.13545,381.051146,672.364035,928.026272,1025.299072,1203.94755
"Palbociclib+Abraxane",9003,197.949024,212.000486,210.0546445,230.900544,237.564272,203.9411145,119.3848355,93.4092,35.815984,28.436548,23.482538,25.0852,26.977192,44.8056,67.1057695,82.185165,144.5561625,166.339264,261.9782495,449.4551705,509.3863425
"Palbociclib+Abraxane",9007,233.3772,333.3132745,354.085984,352.6269615,363.4794,295.6805,137.599136,107.030187,82.006988,66.7759435,63.4531625,66.413982,87.727032,138.9711015,196.247232,289.947744,377.954304,586.763136,835.756218,1097.348483,1195.46232
"Palbociclib+Abraxane",9015,194.7629365,208.134375,231.4129125,267.069144,260.921472,228.515175,124.6595705,97.089002,65.473056,59.8068185,49.4033515,47.6845785,58.951475,87.27125,105.9653125,163.170556,211.3884,257.081275,309.69225,470.8936345,514.546926
"Palbociclib+Abraxane",9024,219.9740625,310.6137375,370.181256,380.837782,374.978,294.032904,151.07877,93.7125,42.1377795,22.506068,20.08008,15.68403,10.1667205,8.0733625,0,0,0,0,0,0,0
"Palbociclib+Abraxane",9028,249.446952,305.029116,305.653738,337.992912,309.135288,245.338828,152.303733,94.041,74.202298,54.6530435,44.1882,39.52,34.442127,25.0776,0,0,0,0,0,0,0
