Treatment,Mouse,23,27,30,34,37,41,44,48,51,55,58,62,65,69,72,76,79,83
Vehicle,13,83.94375,152.2422,219.675036,316.238805,372.38955,459.890676,534.7431045,649.0518925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vehicle,20,156.574208,260.01408,375.477021,646.848144,699.790788,934.9052,1115.946334,1637.17633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vehicle,22,113.324875,219.673096,384.1536375,649.819368,747.749408,887.3591415,1205.880773,1557.809054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vehicle,32,183.99875,396.9153125,660.051424,988.991611,1130.996097,1470.6125,1610.698087,2039.5886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vehicle,54,141.750496,304.9728,531.900288,941.2888485,1055.574234,1315.469712,1678.35375,1980.1476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vehicle,60,171.507252,367.171117,678.042936,903.07009,1120.804272,1419.261912,2069.747292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vehicle,61,188.976528,389.44332,636.00955,988.015372,1168.954176,1614.346875,2049.657226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vehicle,65,220.107652,495.527202,799.577424,1023.003212,1334.97315,1731.381926,2272.841323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vehicle,73,94.528832,181.270971,181.1952625,190.195376,206.466326,218.0374625,263.6592525,659.1656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vehicle,84,127.013359,244.594361,372.088104,657.946888,856.653152,1250.485434,1656.072792,2139.383912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PF-06873600,6,159.009152,236.8400805,343.91,511.0261385,657.326824,881.19642,1105.960625,1505.913428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PF-06873600,16,185.4318765,289.96875,493.87435,786.2365145,817.074115,1043.678416,1356.932688,1516.047969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PF-06873600,18,147.994,263.444874,380.111816,744.504837,869.80455,1085.229338,1427.472728,1762.648421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
